2025-02-08 23:40:54,615 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-08 23:40:54,616 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\PROGRAMAS\WS\S04BDSABADOExam\LPII_CL2_JUAREZMONTEROLUIS\src\test\resources
2025-02-08 23:42:45,167 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-08 23:42:45,167 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2025-02-08 23:42:45,167 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-08 23:42:45,168 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\PROGRAMAS\WS\S04BDSABADOExam\LPII_CL2_JUAREZMONTEROLUIS\src\test\resources
2025-02-08 23:46:20,762 [Worker-27] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: JMLexamen:LPII_CL2_JUAREZMONTEROLUIS:0.0.1-SNAPSHOT @ D:\PROGRAMAS\WS\S04BDSABADOExam\LPII_CL2_JUAREZMONTEROLUIS\pom.xml.
2025-02-08 23:46:21,749 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-08 23:46:21,750 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2025-02-08 23:46:21,751 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-08 23:46:21,752 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\PROGRAMAS\WS\S04BDSABADOExam\LPII_CL2_JUAREZMONTEROLUIS\src\test\resources
2025-02-08 23:46:21,752 [Worker-27] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of LPII_CL2_JUAREZMONTEROLUIS
2025-02-08 23:46:21,752 [Worker-27] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for LPII_CL2_JUAREZMONTEROLUIS
2025-02-08 23:46:21,754 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-08 23:48:26,168 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-08 23:48:26,169 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2025-02-08 23:48:26,170 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-08 23:48:26,170 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\PROGRAMAS\WS\S04BDSABADOExam\LPII_CL2_JUAREZMONTEROLUIS\src\test\resources
2025-02-08 23:50:01,862 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-08 23:50:01,864 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2025-02-08 23:50:01,864 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
